LocID,LocName,Latitude,Longitude
121310,Precision Punch & Tooling,41.638965,-72.749084
121280,Sansone Kia,40.5912328090036,-74.2743033088518
121278,Hudson Street Parking Garage,40.978890594441,-74.1196046813784
121273,Commercial Furniture Resource,40.9126572594061,-74.5697041390395
121271,Nielsen Ford,41.1984956542687,-74.5939635709643
121193,Interstate 95 Fairfield SB Service Plaza,41.147837597269,-73.2559270833588
121192,Madison Interstate 95 NB Service Plaza,41.2905723600757,-72.5795873010597
121191,Holiday Inn Express - Pittston Scranton Airport,41.31388494141547,-75.75937193102769
121190,Home2 Suites by Hilton - Wilkes-Barre,41.23496363515569,-75.8523543132397
121134,Geisinger Healthplex CenterPoint,41.305516,-75.769756
121133,Memorial Plaza,41.134508,-73.792877
121121,Holiday Inn Express & Suites,40.592263161737606,-75.58753543713888
121115,Holiday Inn Express & Suites,40.98223,-75.22111
121114,Comfort Inn,41.480598582077036,-75.6888958012581
121036,Baybrook Remodelers,41.28646,-72.97475
120979,The Knack Restaurant,41.67393,-70.30626
120976,Terrace at Berkeley,40.68432,-74.43951
120960,The Platform,41.096639,-73.420422
120947,"NJEV Solutions, LLC",40.65718,-74.29438
120946,New Tech Energy,40.628872,-73.971992
120941,River Haven Co,41.05846,-73.54887
120933,New King Holding LLC,41.08336,-73.71432
120917,Noble Gas Station,41.67250308298268,-72.75507110912324
120913,Production Resource Group,41.481698,-74.069867
120912,Riverdale Fast Parking,40.879501,-73.903603
120899,DSL Marketing and Energy Icon Parking,40.761698,-73.978338
120881,250 Vesey,40.71346,-74.0154
120879,IBN Construction,40.749746,-74.168617
120814,The Landon of Cromwell Apartments,41.60674,-72.6915
120811,National Hall Parking Garage,41.141711,-73.365301
120541,Fette Kia,40.869155,-74.184481
120519,"533 Palmer Avenue, Falmouth, MA",41.566868,-70.617195
120517,Danbury Hyundai,41.415656628442584,-73.42387893242083
120515,Exit 14 Park & Ride,41.103294,-74.029091
120485,200 Tyler Street,41.275,-72.87587
120453,225 Main Street Parking Lot,41.290359,-72.376572
120359,Round Valley Beach,40.62829,-74.852196
120352,Toyota of Scranton,41.447643,-75.642805
120346,Duchess of Danbury,41.393547,-73.512085
120186,1 Summit Ct Parking,41.539739,-73.886332
120134,RXR Realty,40.720162,-73.58196
120073,"Jaguar Land Rover NA HQ - Mahwah, NJ",41.112047,-74.161261
120035,171 East 84th Street,40.77798,-73.95555
120030,254 Rt 6 Gas Station,41.35266,-73.74911
120026,Orienta Beach Club,40.93594,-73.72539
119861,LGA Air Park Long Term Parking,40.77049,-73.87014
119825,Stop and Shop,41.522998,-74.072783
119744,ACME Markets - Clark,40.627598,-74.315658
119649,Washington Promenade Apartments,40.95126,-73.98859
119544,Highridge Plaza,40.96108,-73.84168
119529,Bayport Fire District,40.7452892,-73.0528412
119344,"Little Ferry, NJ Supercharger",40.855059,-74.0333262
119337,Interstate 95 Fairfield I-95 Fairfield NB Service Plaza,41.1465000315833,-73.2568475196782
119276,1 Sutton Place Garage 2nd Floor,40.7601207,-73.9598596
119166,Royal Development Manorville Square,40.82474,-72.80709
119131,Greystone Jewish Center,40.954297,-73.888612
119098,25 Rockwood Place,40.879517,-73.98327
119051,EVolve NY White Plains,41.0274,-73.76555
119050,Scarsdale Ford,40.9936431054193,-73.8210701681449
118913,Atlantic Beach Hotel Parking Lot,41.490729,-71.28447
118894,Fieldpoint Broadway Parking Lot,41.038234,-73.864861
118892,bp Gas Station,40.740992,-73.662543
118857,Canfield Mews,40.862468,-74.610895
118840,"Blakeslee, PA Supercharger",41.092297,-75.591828
118830,Mashomack Preserve,41.05706,-72.32448
118806,Jones Beach Energy & Nature Center,40.5853297144527,-73.5589862540316
118803,Hopatcong Borough Hall,40.933889,-74.659806
118788,Kean University Main lot 1,40.679948,-74.23331
118787,Borough of Lincoln Park,40.921997,-74.30489
118686,301 East 66th Street,40.764945,-73.960624
118643,98 Leroy Avenue,41.473087,-71.29924
118602,Archer Green MI Station,40.705254,-73.7915
118555,"The Hills Mortgage and Finance Company, L.L.C.",40.650875,-74.573096
118512,650 From Road,40.961951,-74.069053
118433,155 Pinelawn Road,40.77118,-73.4104
118432,145 Pinelawn Road,40.77103,-73.40868
118431,135 Pinelawn Road,40.77081,-73.40686
118428,W&W Glass,41.10848,-74.02891
118427,"535 Carlton Avenue, Brooklyn, NY - Parking Garage",40.68092,-73.97076
118421,I-95 Madison SB Service Plaza,41.29154071797631,-72.57949608971035
118378,"Clinton, NJ Supercharger",40.633853,-74.937703
118370,The Inn at Jim Thorpe,40.86375,-75.738726
118333,Energy Plus NY - 4769 White Place,40.905461,-73.849791
118278,MVY Airport,41.388858,-70.612364
118261,Scenic Hudson Park,41.037752,-73.87392
118192,Viti Public,41.643914,-71.189421
118066,Qt Station,40.753602,-73.899825
118015,"PH Urban Renewal, LLC",40.717549,-74.038363
117965,"American Dream Parking Deck D Gold - Supercharger - East Rutherford, NJ",40.811472,-74.064722
117846,G & M Realty,40.745355,-73.94625
117819,UBP Bloomfield Crossing,40.79687,-74.17895
117783,Feussner Ford,41.016522623,-75.892459179
117774,101 South 7th Street Parking Lot,40.600761,-75.470475
117734,95 State Rte 17,40.927265,-74.071774
117681,Staten Island | South Beach | 320 Mason Ave,40.584984,-74.088044
117647,The Lofts at Ponemah Hills,41.571032,-72.047465
117645,GM - Paul Masse Buick GMC South,41.498545,-71.458832
117642,"North Babylon, NY Supercharger",40.739557,-73.319465
117584,Print House Apartments,40.882528,-74.040124
117569,Barber Ford of Hazleton,40.978918,-75.980099
117568,Key Ford of Exeter,41.3250175,-75.81134
117561,Legoland New York Resort,41.379,-74.31574
117560,Legoland New York  Lot B,41.37648,-74.31393
117557,Tower East Parking,40.76945,-73.96154
117556,181 East 73rd Street,40.77082,-73.96068
117555,Wellesley Parking,40.76894,-73.96047
117552,Rockland Country Club,41.02487,-73.91789
117550,Sterling Parking,40.77397,-73.9539
117542,iPark,40.772,-73.94639
117541,200 East End Avenue Garage,40.77729,-73.94355
117537,11 East 86th Street,40.78147,-73.95986
117533,Eastway Parking,40.76154,-73.98518
117529,Lincoln Plaza,40.7708,-73.98323
117528,Red Ball Garage,40.74415,-73.98046
117527,210 West 76th Street,40.78126,-73.98044
117526,Ladies Lane Parking,40.74057,-73.99147
117522,Blue Hill Plaza,41.04903,-74.00684
117520,449 East 49th Street,40.75267,-73.96482
117518,Carriage Trade Parking,40.75657,-73.96226
117508,Scarsdale Commons,40.98662,-73.80953
117507,Scarsdale Golf Club,41.01102,-73.7989
117503,Belmont Parking,40.77869,-73.95733
117500,32 Burling Lane,40.91317,-73.78585
117496,Bridge Street on the Hudson,41.04059,-73.87393
117495,Quaker Ridge Golf Club,40.96636,-73.7648
117484,Coveleigh Club,40.94657,-73.69086
117478,Westchester Country Club,41.00071,-73.69916
117477,The Heathcote Scarsdale,40.98381,-73.77577
117473,La Terazza New City,41.13736,-73.99141
117471,Century Country Club,41.0391,-73.72556
117434,Airport Executive Park,41.1091,-74.02886
117432,Rapid Park - 204 West 101 Street,40.79743,-73.9687
117390,EVolve NY Commack,40.80751,-73.29381
117365,"Central Valley, NY Supercharger",41.313222,-74.125034
117327,337 Fulton Avenue,40.707865,-74.092347
117283,Yale Coxe,41.310761,-72.962231
117265,Brooklyn | Park Slope-Gowanus | 266 13th St,40.667017,-73.988698
117264,Manhattan | Upper West Side | 160 W 84th St,40.786312,-73.97569
117210,Plaza Level-South,41.146717,-73.427025
117139,East Park Street Hospitality Urban Renewal Inc.,40.738323,-74.1679201
117112,Lodi Commons,40.874622,-74.086952
117100,UBP Riverhead Plaza,40.92402,-72.70879
117052,Stop & Shop,40.74434,-73.620096
116886,381 Broad Avenue,40.863106,-73.986465
116878,9 Entin Road,40.843248,-74.434343
116848,Orangetown Shopping Center,41.04588,-73.95284
116803,East Mountain,41.253263,-75.814899
116802,"Augusta, NJ Supercharger",41.11941,-74.71296
116782,Hyundai City of Bay Ridge,40.619335,-74.029466
116759,EVolve NY Riverhead,40.91888,-72.66044
116758,"Orangeburg, NY Supercharger",41.044821,-73.954058
116689,Supercharge NYC,40.713775223864566,-73.93309885943435
116688,Somers Park,41.307967,-73.714891
116645,National Resources,40.802772,-73.993006
116635,TownePlace Suites by Marriott,40.729122,-73.421934
116634,Courtyard by Marriott,40.729075,-73.423159
116617,Mannheim Trust,41.025846,-73.629718
116612,Prestige Parking Corp,40.7565187377,-73.9610743999
116580,Bank of America,40.85031,-73.96805
