Name,Duration From,Duration To,Observation 1 City,Observation 1 Street,Observation 1 Postal Code,Observation 1 Coordinates,Observation 2 City,Observation 2 Street,Observation 2 Postal Code,Observation 2 Coordinates,Distance(meters),Duration(seconds),NDT,Road Type
trafficData185078.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Hasle Ringvej 138,8200,"56.181353258286634, 10.192906008598356",Aarhus,Randersvej 138,8200,"56.184659561973874, 10.19604842460626",573,61,34,MAJOR_ROAD
trafficData185104.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Århus N,Randersvej 141,8200,"56.18461478101305, 10.195804343585905",Aarhus,Hasle Ringvej 141,8200,"56.181459995226994, 10.192792014715224",541,62,31,MAJOR_ROAD
trafficData185131.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Hasle Ringvej 138,8200,"56.181353258286634, 10.192906008598356",Aarhus,Randersvej 164,8200,"56.18028339302693, 10.198778699405693",551,63,31,MAJOR_ROAD
trafficData185157.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Randersvej 164,8200,"56.1803125039424, 10.19893292642405",Aarhus,Hasle Ringvej 164,8200,"56.181459995226994, 10.192792014715224",590,61,35,MAJOR_ROAD
trafficData185184.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Hasle Ringvej 0,8200,"56.17871060412596, 10.184485323907893",Aarhus,Paludan-Müllers Vej 48,8200,"56.17389164456407, 10.182183959489976",779,75,37,MAJOR_ROAD
trafficData185210.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Paludan-Müllers Vej 48,8200,"56.17389164456407, 10.182183959489976",Aarhus,Hasle Ringvej 48,8200,"56.178623267668705, 10.18461071717934",746,70,38,MAJOR_ROAD
trafficData185237.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Hasle Ringvej 0,8210,"56.174917180024806, 10.171611868717264",Aarhus,Paludan-Müllers Vej 48,8200,"56.17389164456407, 10.182183959489976",851,69,44,MAJOR_ROAD
trafficData185263.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Paludan-Müllers Vej 48,8200,"56.17389164456407, 10.182183959489976",Aarhus,Hasle Ringvej 48,8210,"56.17505006362324, 10.171526038028787",880,80,40,MAJOR_ROAD
trafficData185290.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Hasle Ringvej 27,8210,"56.17312782176926, 10.161757688325906",Aarhus,Viborgvej 209,8210,"56.17267848588397, 10.153508571758266",640,50,46,MAJOR_ROAD
trafficData185316.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Viborgvej 209,8210,"56.17262995803033, 10.153436152114864",Aarhus,Hasle Ringvej 36,8210,"56.17304495205962, 10.161823402446771",665,54,44,MAJOR_ROAD
trafficData185343.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Hasle Ringvej 27,8210,"56.17312782176926, 10.161757688325906",Aarhus,Viborgvej 165-167,8210,"56.169148028055325, 10.161062711639374",781,73,39,MAJOR_ROAD
trafficData185369.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Viborgvej 165-167,8210,"56.169148028055325, 10.161062711639374",Aarhus,Hasle Ringvej 36,8210,"56.17304495205962, 10.161823402446771",742,63,42,MAJOR_ROAD
trafficData185396.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Åby Ringvej 0,8210,"56.167867187555736, 10.1515794551907",Aarhus,Viborgvej 209,8210,"56.17267848588397, 10.153508571758266",739,75,35,MAJOR_ROAD
trafficData185422.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Viborgvej 209,8210,"56.17262995803033, 10.153436152114864",Aarhus,Åby Ringvej 209,8210,"56.16798814878688, 10.151387677246134",705,57,45,MAJOR_ROAD
trafficData186953.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Åby Ringvej 0,8210,"56.167867187555736, 10.1515794551907",Aarhus,Viborgvej 165-167,8210,"56.169148028055325, 10.161062711639374",816,66,45,MAJOR_ROAD
trafficData186979.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Viborgvej 165-167,8210,"56.169148028055325, 10.161062711639374",Aarhus,Åby Ringvej 165-167,8210,"56.16798814878688, 10.151387677246134",844,76,40,MAJOR_ROAD
trafficData187006.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Åby Ringvej 0,8230,"56.1601908856982, 10.143257948409996",Aarhus,Silkeborgvej 521,8220,"56.153267352820414, 10.139025504299298",1018,73,50,MAJOR_ROAD
